date,number_of_issues
2/17/2016,24
2/18/2016,16
2/19/2016,25
2/20/2016,13
2/21/2016,14
2/22/2016,14
2/23/2016,24
2/24/2016,23
2/25/2016,24
2/26/2016,16
2/27/2016,13
2/28/2016,12
2/29/2016,12
3/1/2016,14
3/2/2016,21
3/3/2016,21
3/4/2016,21
3/5/2016,6
3/6/2016,7
3/7/2016,9
3/8/2016,11
3/9/2016,28
3/10/2016,16
3/11/2016,15
3/12/2016,17
3/13/2016,8
3/14/2016,17
3/15/2016,22
3/16/2016,17
3/17/2016,20
3/18/2016,22
3/19/2016,19
3/20/2016,11
3/21/2016,12
3/22/2016,20
3/23/2016,26
3/24/2016,18
3/25/2016,14
3/26/2016,13
3/27/2016,11
3/28/2016,10
3/29/2016,12
3/30/2016,7
3/31/2016,21
4/1/2016,25
4/2/2016,21
4/3/2016,7
4/4/2016,10
4/5/2016,19
4/6/2016,23
4/7/2016,21
4/8/2016,17
4/9/2016,18
4/10/2016,3
4/11/2016,9
4/12/2016,16
4/13/2016,17
4/14/2016,16
4/15/2016,23
4/16/2016,28
4/17/2016,3
4/18/2016,9
4/19/2016,20
4/20/2016,24
4/21/2016,27
4/22/2016,17
4/23/2016,7
4/24/2016,4
4/25/2016,14
4/26/2016,25
4/27/2016,23
4/28/2016,25
4/29/2016,27
4/30/2016,16
5/1/2016,14
5/2/2016,21
5/3/2016,21
5/4/2016,25
5/5/2016,26
5/6/2016,27
5/7/2016,6
5/8/2016,9
5/9/2016,17
5/10/2016,19
5/11/2016,18
5/12/2016,22
5/13/2016,23
5/14/2016,21
5/15/2016,13
5/16/2016,12
5/17/2016,28
5/18/2016,27
5/19/2016,22
5/20/2016,15
5/21/2016,20
5/22/2016,5
5/23/2016,7
5/24/2016,26
5/25/2016,18
5/26/2016,24
5/27/2016,23
5/28/2016,20
5/29/2016,9
5/30/2016,16
5/31/2016,11
6/1/2016,19
6/2/2016,15
6/3/2016,27
6/4/2016,15
6/5/2016,10
6/6/2016,18
6/7/2016,16
6/8/2016,30
6/9/2016,21
6/10/2016,20
6/11/2016,7
6/12/2016,2
6/13/2016,12
6/14/2016,11
6/15/2016,11
6/16/2016,11
6/17/2016,10
6/18/2016,4
6/19/2016,4
6/20/2016,3
6/21/2016,8
6/22/2016,19
6/23/2016,19
6/24/2016,19
6/25/2016,11
6/26/2016,13
6/27/2016,11
6/28/2016,18
6/29/2016,19
6/30/2016,20
7/1/2016,13
7/2/2016,8
7/3/2016,6
7/4/2016,8
7/5/2016,7
7/6/2016,24
7/7/2016,23
7/8/2016,33
7/9/2016,15
7/10/2016,9
7/11/2016,13
7/12/2016,27
7/13/2016,27
7/14/2016,25
7/15/2016,14
7/16/2016,12
7/17/2016,8
7/18/2016,12
7/19/2016,11
7/20/2016,17
7/21/2016,14
7/22/2016,13
7/23/2016,13
7/24/2016,12
7/25/2016,9
7/26/2016,9
7/27/2016,15
7/28/2016,16
7/29/2016,5
7/30/2016,4
7/31/2016,4
8/1/2016,11
8/2/2016,12
8/3/2016,14
8/4/2016,17
8/5/2016,7
8/6/2016,9
8/7/2016,10
8/8/2016,9
8/9/2016,21
8/10/2016,16
8/11/2016,13
8/12/2016,18
8/13/2016,13
8/14/2016,4
8/15/2016,12
8/16/2016,12
8/17/2016,22
8/18/2016,14
8/19/2016,23
8/20/2016,16
8/21/2016,11
8/22/2016,12
8/23/2016,16
8/24/2016,17
8/25/2016,15
8/26/2016,12
8/27/2016,19
8/28/2016,10
8/29/2016,13
8/30/2016,17
8/31/2016,18
9/1/2016,12
9/2/2016,17
9/3/2016,15
9/4/2016,2
9/5/2016,8
9/6/2016,11
9/7/2016,9
9/8/2016,12
9/9/2016,22
9/10/2016,15
9/11/2016,11
9/12/2016,7
9/13/2016,17
9/14/2016,16
9/15/2016,16
9/16/2016,17
9/17/2016,67
9/18/2016,16
9/19/2016,6
9/20/2016,13
9/21/2016,27
9/22/2016,28
9/23/2016,21
9/24/2016,17
9/25/2016,12
9/26/2016,18
9/27/2016,15
9/28/2016,26
9/29/2016,15
9/30/2016,15
10/1/2016,24
10/2/2016,12
10/3/2016,10
10/4/2016,17
10/5/2016,15
10/6/2016,17
10/7/2016,16
10/8/2016,11
10/9/2016,8
10/10/2016,14
10/11/2016,21
10/12/2016,33
10/13/2016,21
10/14/2016,15
10/15/2016,13
10/16/2016,9
10/17/2016,16
10/18/2016,30
10/19/2016,24
10/20/2016,20
10/21/2016,15
10/22/2016,18
10/23/2016,5
