date,number_of_issues,number_of_commits,lag_number_of_commits,
3/3/2014,15,,,
3/4/2014,8,,,
3/5/2014,7,,,
3/6/2014,10,,,
3/7/2014,5,,,
3/8/2014,7,,,
3/9/2014,5,,,
3/10/2014,5,,,
3/11/2014,10,,,
3/12/2014,2,,,
3/13/2014,7,,,
3/14/2014,6,,,
3/15/2014,10,,,
3/16/2014,8,,,
3/17/2014,2,,,
3/18/2014,12,,,
3/19/2014,8,,,
3/20/2014,6,,,
3/21/2014,11,,,
3/22/2014,8,,,
3/23/2014,4,,,
3/24/2014,6,,,
3/25/2014,11,,,
3/26/2014,11,,,
3/27/2014,20,,,
3/28/2014,6,,,
3/29/2014,5,,,
3/30/2014,5,,,
3/31/2014,3,,,
4/1/2014,8,,,
4/2/2014,18,,,
4/3/2014,10,,,
4/4/2014,13,,,
4/5/2014,8,,,
4/6/2014,4,,,
4/7/2014,7,,,
4/8/2014,16,,,
4/9/2014,9,,,
4/10/2014,9,,,
4/11/2014,14,,,
4/12/2014,5,,,
4/13/2014,3,,,
4/14/2014,4,,,
4/15/2014,12,,,
4/16/2014,12,,,
4/17/2014,7,,,
4/18/2014,11,,,
4/19/2014,7,,,
4/20/2014,3,,,
4/21/2014,9,,,
4/22/2014,17,,,
4/23/2014,27,,,
4/24/2014,26,,,
4/25/2014,17,,,
4/26/2014,14,,,
4/27/2014,5,,,
4/28/2014,8,,,
4/29/2014,9,,,
4/30/2014,11,,,
5/1/2014,11,,,
5/2/2014,9,,,
5/3/2014,7,,,
5/4/2014,4,,,
5/5/2014,17,,,
5/6/2014,20,,,
5/7/2014,14,,,
5/8/2014,14,,,
5/9/2014,19,,,
5/10/2014,8,,,
5/11/2014,10,,,
5/12/2014,8,,,
5/13/2014,17,,,
5/14/2014,15,,,
5/15/2014,19,,,
5/16/2014,13,,,
5/17/2014,6,,,
5/18/2014,5,,,
5/19/2014,12,,,
5/20/2014,10,,,
5/21/2014,8,,,
5/22/2014,10,,,
5/23/2014,9,,,
5/24/2014,3,,,
5/25/2014,6,,,
5/26/2014,10,,,
5/27/2014,10,,,
5/28/2014,11,,,
5/29/2014,7,,,
5/30/2014,9,,,
5/31/2014,11,,,
6/1/2014,5,,,
6/2/2014,4,,,
6/3/2014,12,,,
6/4/2014,16,,,
6/5/2014,13,,,
6/6/2014,16,,,
6/7/2014,8,,,
6/8/2014,6,,,
6/9/2014,11,,,
6/10/2014,13,,,
6/11/2014,17,,,
6/12/2014,16,,,
6/13/2014,8,,,
6/14/2014,8,,,
6/15/2014,7,,,
6/16/2014,4,,,
6/17/2014,10,,,
6/18/2014,9,,,
6/19/2014,21,,,
6/20/2014,20,,,
6/21/2014,12,,,
6/22/2014,8,,,
6/23/2014,6,,,
6/24/2014,14,,,
6/25/2014,17,,,
6/26/2014,21,,,
6/27/2014,12,,,
6/28/2014,12,,,
6/29/2014,5,,,
6/30/2014,8,,,
7/1/2014,4,,,
7/2/2014,10,,,
7/3/2014,8,,,
7/4/2014,12,,,
7/5/2014,3,,,
7/6/2014,4,,,
7/7/2014,5,,,
7/8/2014,13,,,
7/9/2014,15,,,
7/10/2014,12,,,
7/11/2014,18,,,
7/12/2014,12,,,
7/13/2014,7,,,
7/14/2014,11,,,
